Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:15:54.000000,795.0,2025-06-17 12:16:04.000000,795.05,0.05
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:17:06.000000,795.0,2025-06-17 12:17:11.000000,794.9,-0.1
2025-06-17 12:17:17.000000,795.0,2025-06-17 12:17:17.000000,794.9,-0.1
2025-06-17 12:17:59.000000,794.95,2025-06-17 12:18:00.000000,794.85,-0.1
2025-06-17 12:18:06.000000,794.95,2025-06-17 12:18:09.000000,794.9,-0.05
2025-06-17 12:18:46.000000,795.1,2025-06-17 12:18:48.000000,794.8,-0.3
2025-06-17 12:18:57.000000,794.7,2025-06-17 12:18:57.000000,794.65,-0.05
2025-06-17 12:18:58.000000,794.65,2025-06-17 12:19:00.000000,794.5,-0.15
2025-06-17 12:19:31.000000,794.4,2025-06-17 12:19:32.000000,794.25,-0.15
2025-06-17 12:19:34.000000,794.4,2025-06-17 12:19:36.000000,794.25,-0.15
2025-06-17 12:19:38.000000,794.55,2025-06-17 12:19:39.000000,794.25,-0.3
2025-06-17 12:19:42.000000,794.4,2025-06-17 12:19:42.000000,794.3,-0.1
2025-06-17 12:19:43.000000,794.4,2025-06-17 12:19:45.000000,794.25,-0.15
2025-06-17 12:19:49.000000,794.4,2025-06-17 12:19:51.000000,794.25,-0.15
2025-06-17 12:19:54.000000,794.4,2025-06-17 12:19:59.000000,794.4,0.0
2025-06-17 12:20:07.000000,794.4,2025-06-17 12:20:11.000000,794.25,-0.15
2025-06-17 12:20:16.000000,794.4,2025-06-17 12:20:21.000000,794.25,-0.15
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:21:10.000000,794.5,2025-06-17 12:21:13.000000,794.3,-0.2
2025-06-17 12:21:35.000000,794.45,2025-06-17 12:21:37.000000,794.25,-0.2
2025-06-17 12:21:38.000000,794.35,2025-06-17 12:21:49.000000,794.0,-0.35
2025-06-17 12:21:51.000000,794.25,2025-06-17 12:21:51.000000,794.0,-0.25
2025-06-17 12:21:52.000000,794.2,2025-06-17 12:21:54.000000,794.0,-0.2
2025-06-17 12:22:02.000000,794.0,2025-06-17 12:22:08.000000,793.8,-0.2
2025-06-17 12:22:11.000000,793.75,2025-06-17 12:23:48.000000,794.15,0.4
2025-06-17 12:24:03.000000,794.15,2025-06-17 12:24:15.000000,793.8,-0.35
2025-06-17 12:24:22.000000,793.65,2025-06-17 12:25:02.000000,793.05,-0.6
2025-06-17 12:25:03.000000,793.0,2025-06-17 12:25:46.000000,793.5,0.5
2025-06-17 12:26:14.000000,793.45,2025-06-17 12:27:28.000000,793.2,-0.25
2025-06-17 12:27:31.000000,793.1,2025-06-17 12:28:10.000000,793.45,0.35
2025-06-17 12:28:27.000000,793.0,2025-06-17 12:30:41.000000,793.5,0.5
2025-06-17 12:30:55.000000,793.5,2025-06-17 12:31:02.000000,793.05,-0.45
2025-06-17 12:31:17.000000,793.3,2025-06-17 12:31:47.000000,793.85,0.55
2025-06-17 12:32:04.000000,793.6,2025-06-17 12:32:31.000000,793.25,-0.35
2025-06-17 12:32:31.000000,793.3,2025-06-17 12:32:46.000000,793.7,0.4
2025-06-17 12:32:56.000000,793.65,2025-06-17 12:33:01.000000,793.35,-0.3
2025-06-17 12:33:16.000000,793.7,2025-06-17 12:33:37.000000,793.5,-0.2
2025-06-17 12:33:37.000000,793.5,2025-06-17 12:34:03.000000,793.3,-0.2
2025-06-17 12:34:04.000000,793.3,2025-06-17 12:36:27.000000,793.05,-0.25
2025-06-17 12:37:05.000000,793.15,2025-06-17 12:37:28.000000,792.9,-0.25
2025-06-17 12:37:33.000000,793.0,2025-06-17 12:41:04.000000,792.8,-0.2
Entry Time,Entry Price,Exit Time,Exit Price,PnL
2025-06-17 12:41:58.000000,792.75,2025-06-17 12:42:45.000000,793.3,0.55
2025-06-17 12:42:58.000000,793.2,2025-06-17 12:43:20.000000,793.5,0.3
2025-06-17 12:43:21.000000,793.45,2025-06-17 12:43:30.000000,793.2,-0.25
2025-06-17 12:43:43.000000,792.65,2025-06-17 12:43:46.000000,793.0,0.35
2025-06-17 12:43:46.000000,792.55,2025-06-17 12:43:56.000000,793.0,0.45
2025-06-17 12:44:05.000000,792.95,2025-06-17 12:44:05.000000,792.75,-0.2
2025-06-17 12:44:06.000000,792.75,2025-06-17 12:44:48.000000,792.3,-0.45
2025-06-17 12:45:01.000000,792.2,2025-06-17 12:45:21.000000,792.0,-0.2
2025-06-17 12:45:21.000000,792.05,2025-06-17 12:45:28.000000,792.4,0.35
2025-06-17 12:45:46.000000,792.5,2025-06-17 12:45:47.000000,792.3,-0.2
2025-06-17 12:45:48.000000,792.3,2025-06-17 12:46:05.000000,792.7,0.4
2025-06-17 12:46:05.000000,792.7,2025-06-17 12:46:13.000000,792.35,-0.35
2025-06-17 12:46:15.000000,792.55,2025-06-17 12:46:43.000000,792.85,0.3
2025-06-17 12:46:49.000000,792.8,2025-06-17 12:46:55.000000,792.5,-0.3
2025-06-17 12:46:57.000000,792.5,2025-06-17 12:47:04.000000,792.8,0.3
2025-06-17 12:47:21.000000,792.7,2025-06-17 12:47:22.000000,792.5,-0.2
2025-06-17 12:47:28.000000,792.65,2025-06-17 12:49:03.000000,793.0,0.35
2025-06-17 12:49:10.000000,793.0,2025-06-17 12:49:13.000000,792.5,-0.5
2025-06-17 12:49:14.000000,792.45,2025-06-17 12:49:15.000000,792.25,-0.2
2025-06-17 12:49:15.000000,792.25,2025-06-17 12:49:50.000000,792.6,0.35
2025-06-17 12:49:59.000000,792.75,2025-06-17 12:50:11.000000,792.5,-0.25
2025-06-17 12:50:12.000000,792.5,2025-06-17 12:50:15.000000,792.25,-0.25
2025-06-17 12:50:15.000000,792.25,2025-06-17 12:51:04.000000,792.05,-0.2
2025-06-17 12:51:04.000000,792.05,2025-06-17 12:51:09.000000,791.75,-0.3
2025-06-17 12:51:36.000000,791.6,2025-06-17 12:51:38.000000,791.9,0.3
2025-06-17 12:51:38.000000,791.9,2025-06-17 12:51:39.000000,791.45,-0.45
2025-06-17 12:51:40.000000,791.5,2025-06-17 12:51:45.000000,791.3,-0.2
2025-06-17 12:51:46.000000,791.2,2025-06-17 12:51:46.000000,791.5,0.3
2025-06-17 12:51:47.000000,791.5,2025-06-17 12:52:00.000000,791.85,0.35
2025-06-17 12:52:12.000000,791.9,2025-06-17 12:53:20.000000,791.55,-0.35
2025-06-17 12:53:31.000000,791.45,2025-06-17 12:53:40.000000,791.8,0.35
2025-06-17 12:53:49.000000,791.5,2025-06-17 12:54:02.000000,791.3,-0.2
2025-06-17 12:54:02.000000,791.25,2025-06-17 12:54:30.000000,791.55,0.3
2025-06-17 12:54:37.000000,791.5,2025-06-17 12:54:55.000000,791.25,-0.25
2025-06-17 12:55:06.000000,791.1,2025-06-17 12:55:12.000000,790.8,-0.3
2025-06-17 12:55:46.000000,790.95,2025-06-17 12:55:59.000000,790.75,-0.2
2025-06-17 12:56:13.000000,790.95,2025-06-17 13:00:02.000000,791.35,0.4
2025-06-17 13:00:34.000000,791.2,2025-06-17 13:00:36.000000,791.6,0.4
2025-06-17 13:00:36.000000,791.6,2025-06-17 13:00:52.000000,791.3,-0.3
2025-06-17 13:01:00.000000,791.55,2025-06-17 13:01:02.000000,791.2,-0.35
2025-06-17 13:01:08.000000,791.3,2025-06-17 13:01:45.000000,791.8,0.5
2025-06-17 13:01:46.000000,791.85,2025-06-17 13:01:56.000000,792.2,0.35
2025-06-17 13:01:56.000000,792.2,2025-06-17 13:01:57.000000,792.0,-0.2
2025-06-17 13:02:06.000000,792.05,2025-06-17 13:02:57.000000,792.4,0.35
2025-06-17 13:02:58.000000,792.4,2025-06-17 13:03:03.000000,792.15,-0.25
2025-06-17 13:03:04.000000,792.25,2025-06-17 13:04:40.000000,792.05,-0.2
2025-06-17 13:05:14.000000,792.1,2025-06-17 13:05:18.000000,791.75,-0.35
2025-06-17 13:05:30.000000,791.55,2025-06-17 13:06:01.000000,792.0,0.45
2025-06-17 13:06:18.000000,792.2,2025-06-17 13:06:35.000000,792.0,-0.2
2025-06-17 13:06:36.000000,792.05,2025-06-17 13:07:50.000000,792.35,0.3
2025-06-17 13:08:12.000000,792.5,2025-06-17 13:08:38.000000,792.3,-0.2
2025-06-17 13:08:50.000000,792.05,2025-06-17 13:09:45.000000,792.4,0.35
2025-06-17 13:09:46.000000,792.2,2025-06-17 13:09:48.000000,792.5,0.3
2025-06-17 13:10:01.000000,792.5,2025-06-17 13:10:05.000000,792.85,0.35
2025-06-17 13:10:08.000000,792.4,2025-06-17 13:10:17.000000,792.8,0.4
2025-06-17 13:10:22.000000,792.5,2025-06-17 13:10:23.000000,792.3,-0.2
2025-06-17 13:10:24.000000,792.3,2025-06-17 13:13:17.000000,792.0,-0.3
2025-06-17 13:13:48.000000,791.75,2025-06-17 13:14:28.000000,792.2,0.45
2025-06-17 13:14:29.000000,792.0,2025-06-17 13:16:17.000000,792.3,0.3
2025-06-17 13:16:18.000000,792.3,2025-06-17 13:16:36.000000,792.6,0.3
2025-06-17 13:16:47.000000,792.6,2025-06-17 13:18:32.000000,792.4,-0.2
2025-06-17 13:18:41.000000,792.45,2025-06-17 13:37:13.000000,792.85,0.4
2025-06-17 13:37:19.000000,792.95,2025-06-17 13:37:19.000000,792.75,-0.2
2025-06-17 13:37:20.000000,792.75,2025-06-17 13:40:46.000000,793.05,0.3
2025-06-17 13:41:12.000000,793.1,2025-06-17 13:42:00.000000,793.4,0.3
2025-06-17 13:42:16.000000,793.3,2025-06-17 13:43:27.000000,793.0,-0.3
2025-06-17 13:43:30.000000,793.25,2025-06-17 13:43:31.000000,792.95,-0.3
2025-06-17 13:43:32.000000,792.95,2025-06-17 13:43:46.000000,793.3,0.35
2025-06-17 13:44:13.000000,793.4,2025-06-17 13:44:45.000000,793.1,-0.3
2025-06-17 13:44:50.000000,793.3,2025-06-17 13:45:08.000000,793.05,-0.25
2025-06-17 13:45:09.000000,793.05,2025-06-17 13:46:31.000000,792.75,-0.3
2025-06-17 13:47:08.000000,792.65,2025-06-17 13:48:44.000000,792.95,0.3
2025-06-17 13:48:54.000000,792.7,2025-06-17 13:49:54.000000,793.0,0.3
2025-06-17 13:49:59.000000,792.95,2025-06-17 13:50:02.000000,792.65,-0.3
2025-06-17 13:50:07.000000,792.65,2025-06-17 13:50:17.000000,792.95,0.3
2025-06-17 13:50:34.000000,792.95,2025-06-17 13:50:37.000000,792.7,-0.25
2025-06-17 13:50:38.000000,792.95,2025-06-17 13:50:41.000000,792.7,-0.25
2025-06-17 13:50:42.000000,792.95,2025-06-17 13:51:12.000000,793.3,0.35
2025-06-17 13:51:21.000000,793.05,2025-06-17 13:51:37.000000,793.4,0.35
2025-06-17 13:51:47.000000,793.05,2025-06-17 13:51:49.000000,793.35,0.3
2025-06-17 13:51:50.000000,793.35,2025-06-17 13:51:53.000000,793.1,-0.25
2025-06-17 13:51:53.000000,793.35,2025-06-17 13:51:55.000000,793.1,-0.25
2025-06-17 13:51:55.000000,793.35,2025-06-17 13:52:12.000000,793.05,-0.3
2025-06-17 13:52:14.000000,793.3,2025-06-17 13:54:14.000000,793.65,0.35
2025-06-17 13:54:14.000000,793.65,2025-06-17 13:54:16.000000,793.4,-0.25
2025-06-17 13:54:31.000000,793.3,2025-06-17 13:55:01.000000,793.6,0.3
2025-06-17 13:55:08.000000,793.4,2025-06-17 13:59:34.000000,793.1,-0.3
2025-06-17 13:59:35.000000,793.0,2025-06-17 13:59:50.000000,793.3,0.3
2025-06-17 14:00:05.000000,793.2,2025-06-17 14:00:10.000000,793.0,-0.2
2025-06-17 14:00:13.000000,793.2,2025-06-17 14:00:29.000000,793.0,-0.2
2025-06-17 14:00:29.000000,793.0,2025-06-17 14:02:10.000000,793.35,0.35
2025-06-17 14:02:12.000000,793.4,2025-06-17 14:02:16.000000,793.15,-0.25
2025-06-17 14:03:10.000000,793.4,2025-06-17 14:07:24.000000,793.7,0.3
2025-06-17 14:07:25.000000,793.6,2025-06-17 14:08:05.000000,793.4,-0.2
2025-06-17 14:08:07.000000,793.6,2025-06-17 14:08:09.000000,793.4,-0.2
2025-06-17 14:08:10.000000,793.4,2025-06-17 14:08:22.000000,793.7,0.3
2025-06-17 14:08:46.000000,793.45,2025-06-17 14:09:20.000000,793.9,0.45
2025-06-17 14:09:28.000000,793.9,2025-06-17 14:09:42.000000,794.2,0.3
2025-06-17 14:09:47.000000,794.05,2025-06-17 14:10:30.000000,793.5,-0.55
2025-06-17 14:10:42.000000,793.7,2025-06-17 14:10:43.000000,793.45,-0.25
2025-06-17 14:10:45.000000,793.45,2025-06-17 14:11:07.000000,793.05,-0.4
2025-06-17 14:11:11.000000,793.15,2025-06-17 14:11:23.000000,793.45,0.3
2025-06-17 14:11:28.000000,793.5,2025-06-17 14:11:29.000000,793.3,-0.2
2025-06-17 14:11:29.000000,793.5,2025-06-17 14:11:31.000000,793.3,-0.2
2025-06-17 14:11:31.000000,793.3,2025-06-17 14:11:36.000000,793.6,0.3
2025-06-17 14:12:04.000000,794.1,2025-06-17 14:12:07.000000,793.9,-0.2
2025-06-17 14:12:07.000000,793.9,2025-06-17 14:12:23.000000,793.65,-0.25
2025-06-17 14:12:26.000000,793.85,2025-06-17 14:12:27.000000,793.6,-0.25
2025-06-17 14:12:48.000000,793.7,2025-06-17 14:22:55.000000,793.5,-0.2
2025-06-17 14:23:10.000000,793.65,2025-06-17 14:23:11.000000,793.4,-0.25
2025-06-17 14:23:11.000000,793.65,2025-06-17 14:23:13.000000,793.3,-0.35
2025-06-17 14:23:13.000000,793.3,2025-06-17 14:24:39.000000,793.6,0.3
2025-06-17 14:24:40.000000,793.45,2025-06-17 14:24:50.000000,793.25,-0.2
2025-06-17 14:24:55.000000,793.5,2025-06-17 14:24:55.000000,793.25,-0.25
2025-06-17 14:24:56.000000,793.5,2025-06-17 14:24:56.000000,793.25,-0.25
2025-06-17 14:24:57.000000,793.25,2025-06-17 14:26:22.000000,792.95,-0.3
2025-06-17 14:26:23.000000,793.2,2025-06-17 14:31:01.000000,793.5,0.3
2025-06-17 14:31:10.000000,793.4,2025-06-17 14:31:19.000000,793.1,-0.3
2025-06-17 14:31:20.000000,793.1,2025-06-17 14:34:02.000000,793.4,0.3
2025-06-17 14:34:11.000000,793.0,2025-06-17 14:36:39.000000,792.8,-0.2
2025-06-17 14:37:09.000000,792.75,2025-06-17 14:37:25.000000,792.5,-0.25
2025-06-17 14:37:25.000000,792.55,2025-06-17 14:38:33.000000,792.3,-0.25
2025-06-17 14:38:38.000000,792.4,2025-06-17 14:39:06.000000,792.75,0.35
2025-06-17 14:39:10.000000,792.7,2025-06-17 14:39:11.000000,792.5,-0.2
2025-06-17 14:39:12.000000,792.5,2025-06-17 14:39:23.000000,792.8,0.3
2025-06-17 14:39:24.000000,792.7,2025-06-17 14:39:30.000000,792.5,-0.2
2025-06-17 14:39:33.000000,792.3,2025-06-17 14:39:36.000000,792.6,0.3
2025-06-17 14:39:45.000000,792.35,2025-06-17 14:39:49.000000,792.15,-0.2
2025-06-17 14:39:49.000000,792.1,2025-06-17 14:40:05.000000,792.4,0.3
2025-06-17 14:40:12.000000,792.4,2025-06-17 14:40:14.000000,792.15,-0.25
2025-06-17 14:40:16.000000,792.35,2025-06-17 14:40:34.000000,792.15,-0.2
2025-06-17 14:40:37.000000,792.45,2025-06-17 14:40:44.000000,792.25,-0.2
2025-06-17 14:40:45.000000,792.45,2025-06-17 14:40:56.000000,792.2,-0.25
2025-06-17 14:40:56.000000,792.3,2025-06-17 14:42:32.000000,792.05,-0.25
2025-06-17 14:42:34.000000,792.15,2025-06-17 14:43:29.000000,792.45,0.3
2025-06-17 14:43:33.000000,792.2,2025-06-17 14:43:59.000000,792.5,0.3
2025-06-17 14:43:59.000000,792.5,2025-06-17 14:44:03.000000,792.8,0.3
2025-06-17 14:44:27.000000,793.0,2025-06-17 14:44:31.000000,792.7,-0.3
2025-06-17 14:44:31.000000,792.7,2025-06-17 14:44:33.000000,792.5,-0.2
2025-06-17 14:44:33.000000,792.75,2025-06-17 14:44:37.000000,792.5,-0.25
2025-06-17 14:44:38.000000,792.7,2025-06-17 14:44:40.000000,792.5,-0.2
2025-06-17 14:44:40.000000,792.7,2025-06-17 14:44:41.000000,792.5,-0.2
2025-06-17 14:44:42.000000,792.65,2025-06-17 14:44:59.000000,792.35,-0.3
2025-06-17 14:45:01.000000,792.5,2025-06-17 14:45:02.000000,792.3,-0.2
2025-06-17 14:45:14.000000,792.5,2025-06-17 14:45:14.000000,792.3,-0.2
2025-06-17 14:45:15.000000,792.5,2025-06-17 14:45:15.000000,792.3,-0.2
2025-06-17 14:45:16.000000,792.5,2025-06-17 14:45:32.000000,792.8,0.3
2025-06-17 14:45:58.000000,793.0,2025-06-17 14:46:03.000000,792.75,-0.25
2025-06-17 14:46:04.000000,792.95,2025-06-17 14:46:04.000000,792.75,-0.2
2025-06-17 14:46:05.000000,792.75,2025-06-17 14:46:06.000000,793.1,0.35
2025-06-17 14:46:06.000000,793.1,2025-06-17 14:46:08.000000,792.75,-0.35
2025-06-17 14:46:10.000000,792.9,2025-06-17 14:46:16.000000,792.6,-0.3
2025-06-17 14:46:16.000000,792.6,2025-06-17 14:46:22.000000,792.9,0.3
2025-06-17 14:46:27.000000,792.85,2025-06-17 14:46:31.000000,792.65,-0.2
2025-06-17 14:46:34.000000,792.9,2025-06-17 14:47:34.000000,793.2,0.3
2025-06-17 14:47:38.000000,792.9,2025-06-17 14:47:41.000000,793.2,0.3
2025-06-17 14:48:10.000000,792.8,2025-06-17 14:52:45.000000,793.1,0.3
2025-06-17 14:52:55.000000,793.0,2025-06-17 14:53:01.000000,792.8,-0.2
2025-06-17 14:53:01.000000,792.8,2025-06-17 14:53:45.000000,792.5,-0.3
2025-06-17 14:53:53.000000,792.55,2025-06-17 14:54:15.000000,792.3,-0.25
2025-06-17 14:54:18.000000,792.65,2025-06-17 14:56:16.000000,792.4,-0.25
2025-06-17 14:56:35.000000,792.35,2025-06-17 14:56:50.000000,792.15,-0.2
2025-06-17 14:56:50.000000,792.25,2025-06-17 14:57:39.000000,792.05,-0.2
2025-06-17 14:57:39.000000,792.35,2025-06-17 14:58:01.000000,792.15,-0.2
2025-06-17 14:58:02.000000,792.25,2025-06-17 14:58:24.000000,792.55,0.3
2025-06-17 14:58:25.000000,792.55,2025-06-17 14:58:28.000000,793.0,0.45
2025-06-17 14:58:36.000000,792.45,2025-06-17 14:58:40.000000,792.25,-0.2
2025-06-17 14:58:41.000000,792.5,2025-06-17 14:58:41.000000,792.25,-0.25
2025-06-17 14:58:42.000000,792.5,2025-06-17 14:58:43.000000,792.25,-0.25
2025-06-17 14:58:46.000000,792.35,2025-06-17 14:59:09.000000,792.15,-0.2
2025-06-17 14:59:10.000000,792.3,2025-06-17 14:59:48.000000,792.7,0.4
2025-06-17 15:00:03.000000,792.7,2025-06-17 15:03:39.000000,792.5,-0.2
2025-06-17 15:03:45.000000,792.6,2025-06-17 15:04:37.000000,792.35,-0.25
2025-06-17 15:04:37.000000,792.3,2025-06-17 15:04:53.000000,792.05,-0.25
2025-06-17 15:04:53.000000,792.05,2025-06-17 15:05:59.000000,791.8,-0.25
2025-06-17 15:06:06.000000,791.8,2025-06-17 15:06:23.000000,791.55,-0.25
2025-06-17 15:06:27.000000,791.45,2025-06-17 15:06:41.000000,791.2,-0.25
2025-06-17 15:06:43.000000,791.1,2025-06-17 15:06:53.000000,791.4,0.3
2025-06-17 15:06:56.000000,791.35,2025-06-17 15:07:36.000000,791.65,0.3
2025-06-17 15:07:50.000000,791.9,2025-06-17 15:09:48.000000,792.2,0.3
2025-06-17 15:09:48.000000,792.2,2025-06-17 15:09:55.000000,792.55,0.35
2025-06-17 15:10:04.000000,792.45,2025-06-17 15:10:10.000000,792.2,-0.25
2025-06-17 15:10:10.000000,792.2,2025-06-17 15:10:12.000000,791.95,-0.25
2025-06-17 15:10:22.000000,792.0,2025-06-17 15:10:23.000000,792.3,0.3
2025-06-17 15:10:24.000000,792.3,2025-06-17 15:10:35.000000,792.05,-0.25
2025-06-17 15:10:43.000000,791.95,2025-06-17 15:10:58.000000,792.25,0.3
2025-06-17 15:11:00.000000,792.3,2025-06-17 15:11:04.000000,792.6,0.3
2025-06-17 15:11:13.000000,792.65,2025-06-17 15:11:22.000000,793.0,0.35
2025-06-17 15:11:25.000000,792.8,2025-06-17 15:11:28.000000,792.55,-0.25
